film,naslov,leto,opis,trajanje,ocena_kritikov,oznaka
0,Prince of the City,1981,"Inspired by a true story, Prince of the City stars Treat Williams as a Manhattan detective who agrees to help the US Department of Justice weed out corruption in the NYPD. Williams agrees on the assurance that he'll never have to turn in a close friend. Wired for sound, Williams almost immediately stumbles upon a police conspiracy to smuggle narcotics to street informants in order to insure cooperation. While this might be condonable in a stretch, the fact is that the many cops are using the drugs on their own, and are also highly susceptible to bribes. Williams gets the goods on the miscreants, but in so doing he breaks the ""code"" and becomes a pariah to his fellow officers. As we learn in the unsettling final scene, Williams will always be considered a ""fink,"" even by honest cops. Prince of the City is too long for its own good, but its opening expository sequences and its final twenty minutes more than compensate for the duller stretches.",167.0,9,R
1,The Black Phone,2022,"It is 1978 in North Denver, and shy thirteen-year-old Finney Shaw (Mason Thames) ventures home after pitching a home run in his baseball game. However, The Grabber (Ethan Hawke), a part-time magician who kidnaps children and murders them, disrupts his bike ride home. Finney then finds himself in a soundproofed basement, where the outside world cannot hear his screams for help. Aid comes from the most surprising source, a disconnected phone where The Grabber’s past victims guide Finney to freedom. Scott Derrickson directs the horror film.",102.0,8,R
2,The Tree of Life,2011,"The eldest son of a 1950s-era Texas family sets out on an existential journey that leads him to question his faith while seeking the answers to life's most challenging mysteries in this evocative drama from celebrated director Terrence Malick. Meanwhile, as Jack's (Sean Penn) innocence slowly erodes, his turbulent relationship with his father (Brad Pitt) becomes the specter that hangs over his every thought and action.",139.0,9,PG13
3,Born Yesterday,1950,"Garson Kanin's Broadway hit was transferred to the screen with only a few passing nods to the stricter censorship required by films. Judy Holliday won an Oscar for her portrayal of Billie Dawn, a strident, dim-bulbed ex-chorus girl who is the mistress of millionaire junk tycoon Harry Brock (Broderick Crawford). In Washington to put a few senators and congressmen in his pocket (the better to lay the groundwork for an illegal cartel), the rude-and-crude Brock realizes that the unrefined Billie will prove an embarrassment. Thus he hires idealistic but impoverished Paul Verrell (William Holden) to pump some intelligence and ""class"" into Billie. Paul does his job too well; by awakening Billie's social and political consciousness, he turns the girl into Brock's most formidable foe in his efforts to buy influence in DC. Along the way Paul and Billie fall in love.",103.0,9,NR
4,Quatermass II: Enemy from Space,1957,"Originally titled Quatermass II, Enemy from Space was the sequel to The Quatermass Xperiment (US title: The Creeping Unknown). Based on the British TV serial by Nigel Kneale (who reportedly disliked the finished product), the film stars Brian Donlevy, repeating the role of Professor Quatermass. This time, the good professor must contend with a ""meteor shower"" which turns out to be a secret alien invasion. The extraterrestrials arrive on earth in rocklike vehicles, then take over the minds and nervous systems of earthlings, the better to go about their business undetected. Subliminally a cruel satire of British bureaucracy and obfuscation, Enemy from Space also works on a pure-horror level, building slowly and methodically to a powerhouse finale. For many years a ""lost"" film due to legal tangles, Enemy from Space has recently become available again on video and cable TV.",85.0,9,NR
5,Star Wars: The Empire Strikes Back,1980,"The second entry in George Lucas' Star Wars trilogy finds Luke Skywalker (Mark Hamill), the green-as-grass hero from the first film, now a seasoned space warrior. Luke's Star Wars cohorts Han Solo (Harrison Ford) and Princess Leia (Carrie Fisher) are likewise more experienced in the ways and means of battling the insidious Empire, as represented by the brooding Darth Vader (body of David Prowse, voice of James Earl Jones). And, of course, ""The Force,"" personified by the ghost of Luke's mentor Ben Kenobi (Alec Guinness), is with them all. Retreating from Vader's minions, Luke ends up, at first, on the Ice Planet Hoth, and then the tropical Dagobah. Here he makes the acquaintance of the gnomish Yoda (voice of Frank Oz), whose all-encompassing wisdom comes in handy during the serial-like perils of the rest of the film. Before the film's open-ended climax, we are introduced to the apparently duplicitous Lando Calrissian (Billy Dee Williams) and are let in on a secret that profoundly affects both Luke and his arch-enemy, Vader. Many viewers consider this award-winning film the best of the Star Wars movies, and its special-effects bonanza was pure gold at the box office.",124.0,10,PG
6,Eternity and a Day,1998,"Theo Angelopoulos (Reconstruction) directed this 1998 Cannes Film Festival Palme d'Or winner about a famed author nearing the end of his life. Alexander (Bruno Ganz) lives in his old seaside family home near Thessaloniki, but his daughter and son-in-law plan to sell the house, slightly damaged by an earthquake. Seriously ill, Alexander thinks if he checks himself into the hospital, he'll never check out. Awash in nostalgia, he recalls his late wife, Anna (Isabelle Renauld), seen in flashback, and he lets his daughter read a letter her mother had written to him right after her birth. Alexander's current project involves completing the last unfinished work of a 19th-century poet, but he puts that aside in order to spend time finding a home for his dog. Since his son-in-law won't take the dog, Alexander gives it to his servant. After rescuing an Albanian boy (Achileas Skevis) from a gang that sells children to wealthy Greeks who can't adopt legally, Alexander intends to return the youth to his grandmother in Albania. However, the child lied, and Alexander is unaware the boy has no grandmother. The old man and the boy set forth on a journey, and the other bus passengers include several musicians and the 19th-century poet (Fabrizio Bentivoglio). Bruno Ganz was dubbed into Greek for this Greek-French-Italian co-production.",134.0,10,NR
7,In the Shadows,2001,"New York hit man Eric O'Byrne (Matthew Modine) is sent to Miami to murder movie stunt coordinator Lance Huston (James Caan) in retaliation for an on-set accident that killed a powerful capo's nephew, who also was a drug smuggler working on a large deal with eccentric kingpin Draven (Cuba Gooding Jr.). Eric works his way into Lance's world by starting a relationship with Lance's daughter, Clarissa (Joey Lauren Adams), a sensitive pediatrician, and before long he becomes a stuntman working for Lance. But the godfather becomes anxious to have Lance killed, and Eric finds that when the time comes to pull the trigger, love and loyalty complicate the hit.",105.0,9,R
8,Nina Forever,2015,"Grieving boyfriend Rob (Cian Barry) has hope that he's put the sudden death of his girlfriend Nina (Fiona O'Shaughnessy) behind him when he starts a tentative romance with his morbid co-worker Holly (Abigail Hardingham), but their fledgling relationship is sorely challenged when a bloodied and undead Nina re-emerges in their bed every time they have sex. Worse, Nina isn't convinced that it's over between her and Rob and does her best to sabotage his relationship with Holly.",98.0,8,R
9,If Beale Street Could Talk,2019,"African-American teen sweethearts Fonny (Stephan James) and Tish (Kiki Layne) are ripped apart when Fonny is wrongly arrested for the rape of a Puerto Rican woman because of the machinations of a racist cop. While seeking justice for Fonny, a pregnant Tish relies on her Harlem community, including her sister (Teyonah Parris), mother Sharon (Regina King) and future mother-in-law (Aunjanue Ellis). Directed by Barry Jenkins. Based on James Baldwin's novel of the same name.",119.0,9,R
